地名,センター,燃えるゴミ,燃えないゴミ,資源ゴミ（ビン・缶・ペットボトル）,資源ゴミ（紙・布類）,有害ゴミ
萱田（東葉高速線北側）,清掃センター,火 木 土,金2,水,月,金4
萱田（成田街道北側から東葉高速線南側）,清掃センター,月 水 金,木1,火,土,木3
萱田町（東葉高速線北側）,清掃センター,火 木 土,金2,水,月,金4
萱田町（成田街道南側）,清掃センター,月 水 金,火1,木,土,火3
萱田町（成田街道北側から東葉高速線南側）,清掃センター,月 水 金,木1,火,土,木3
八千代台北,清掃センター,月 水 金,火2,木,土,火4
八千代台西,清掃センター,月 水 金,火3,木,土,火1
八千代台東,清掃センター,月 水 金,火4,木,土,火2
八千代台南,清掃センター,月 水 金,火3,木,土,火1
緑が丘1丁目,清掃センター,火 木 土,金3,水,月,金1
緑が丘2～4丁目,清掃センター,月 水 金,木4,火,土,木2
緑が丘5丁目,清掃センター,火 木 土,金3,水,月,金1
上高野,清掃センター,火 木 土,水1,金,月,水3
村上団地,清掃センター,火 木 土,水2,金,月,水4
村上（新川の東側）,清掃センター,火 木 土,水3,金,月,水1
村上（3200・3300・3500番台の成田街道南側）,清掃センター,月 水 金,火1,木,土,火3
村上（成田街道北側で新川の西側）,清掃センター,月 水 金,木1,火,土,木3
村上南,清掃センター,火 木 土,水3,金,月,水1
下市場,清掃センター,火 木 土,水3,金,月,水1
神野,清掃センター,火 木 土,水4,金,月,水2
保品,清掃センター,火 木 土,水4,金,月,水2
下高野,清掃センター,火 木 土,水4,金,月,水2
米本,清掃センター,火 木 土,水4,金,月,水2
米本団地,清掃センター,火 木 土,水4,金,月,水2
堀ノ内,清掃センター,火 木 土,水4,金,月,水2
大和田（成田街道北側から東葉高速線南側）,清掃センター,月 水 金,木1,火,土,木3
大和田（成田街道南側）,清掃センター,月 水 金,火1,木,土,火3
大和田新田（東葉高速線北側）,清掃センター,火 木 土,金3,水,月,金1
大和田新田（県道幕張八千代線より東側）,清掃センター,月 水 金,火1,木,土,火3
大和田新田（1～99番台の成田街道南側）,清掃センター,月 水 金,木3,火,土,木1
大和田新田（100・200番台の成田街道南側）,清掃センター,月 水 金,木2,火,土,木4
大和田新田（300・400・500・700番台の成田街道北側から東葉高速千南側）,清掃センター,月 水 金,木1,火,土,木3
大和田新田（900・1000・1100番台の成田街道北側から東葉高速線南側）,清掃センター,月 水 金,木4,火,土,木2
高津（県道幕張八千代線より東側）,清掃センター,月 水 金,火1,木,土,火3
高津（県道幕張八千代線より西側）,清掃センター,月 水 金,木2,火,土,木4
高津東,清掃センター,月 水 金,木2,火,土,木4
高津団地,清掃センター,月 水 金,木3,火,土,木1
勝田台,清掃センター,火 木 土,金1,水,月,金3
勝田台北,清掃センター,火 木 土,水3,金,月,水1
勝田台南,清掃センター,火 木 土,金2,水,月,金4
勝田,清掃センター,火 木 土,金2,水,月,金4
ゆりのき台1～2丁目,清掃センター,月 水 金,木1,火,土,木3
ゆりのき台3〜8丁目,清掃センター,火 木 土,金2,水,月,金4
麦丸,清掃センター,火 木 土,金2,水,月,金4
吉橋,清掃センター,火 木 土,金3,水,月,金1
尾崎,清掃センター,火 木 土,金3,水,月,金1
真木野,清掃センター,火 木 土,金4,水,月,金2
小池,清掃センター,火 木 土,金4,水,月,金2
佐山,清掃センター,火 木 土,金4,水,月,金2
平戸,清掃センター,火 木 土,金4,水,月,金2
神久保,清掃センター,火 木 土,金4,水,月,金2
島田台,清掃センター,火 木 土,金4,水,月,金2
島田,清掃センター,火 木 土,金4,水,月,金2
桑橋,清掃センター,火 木 土,金4,水,月,金2
桑納,清掃センター,火 木 土,金4,水,月,金2
大学町,清掃センター,火 木 土,金4,水,月,金2
